order_item_id,order_id,product_id,line_number,quantity,unit_price_usd,discount_percent,line_total_usd
OI0000227,O000085,P0026,1,8,13420.00,5.00,101992.00
OI0000228,O000085,P0058,2,2,1830.00,10.00,3294.00
OI0000229,O000086,P0049,1,5,16150.00,0.00,80750.00
OI0000230,O000086,P0033,2,5,800.00,15.00,3400.00
OI0000231,O000086,P0056,3,2,10190.00,15.00,17323.00
OI0000232,O000086,P0009,4,6,5290.00,0.00,31740.00
OI0000233,O000087,P0035,1,12,14850.00,0.00,178200.00
OI0000234,O000087,P0005,2,12,3300.00,0.00,39600.00
OI0000235,O000087,P0052,3,1,13500.00,0.00,13500.00
OI0000236,O000087,P0007,4,10,4920.00,0.00,49200.00
OI0000237,O000088,P0006,1,3,570.00,0.00,1710.00
OI0000238,O000088,P0055,2,6,16840.00,0.00,101040.00
OI0000239,O000088,P0073,3,4,1430.00,5.00,5434.00
OI0000240,O000088,P0018,4,8,670.00,5.00,5092.00
OI0000241,O000089,P0079,1,1,15570.00,0.00,15570.00
OI0000242,O000089,P0068,2,3,2100.00,15.00,5355.00
OI0000243,O000089,P0075,3,2,14230.00,15.00,24191.00
OI0000244,O000089,P0015,4,11,8020.00,15.00,74987.00
OI0000245,O000089,P0009,5,5,5290.00,0.00,26450.00
OI0000246,O000090,P0032,1,3,330.00,0.00,990.00
OI0000247,O000090,P0028,2,4,9080.00,0.00,36320.00
OI0000248,O000091,P0061,1,10,9420.00,10.00,84780.00
OI0000249,O000091,P0075,2,10,14230.00,0.00,142300.00
OI0000250,O000092,P0035,1,10,14850.00,10.00,133650.00
OI0000251,O000092,P0004,2,4,16440.00,0.00,65760.00
OI0000252,O000093,P0024,1,6,11180.00,15.00,57018.00
OI0000253,O000093,P0053,2,2,16730.00,10.00,30114.00
OI0000254,O000093,P0009,3,6,5290.00,15.00,26979.00
OI0000255,O000093,P0049,4,8,16150.00,5.00,122740.00
OI0000256,O000093,P0036,5,12,10120.00,0.00,121440.00
OI0000257,O000094,P0024,1,5,11180.00,0.00,55900.00
OI0000258,O000094,P0078,2,10,7660.00,0.00,76600.00
OI0000259,O000095,P0025,1,11,13240.00,15.00,123794.00
OI0000260,O000095,P0023,2,3,12130.00,0.00,36390.00
OI0000261,O000095,P0014,3,5,14460.00,10.00,65070.00
OI0000262,O000095,P0055,4,7,16840.00,10.00,106092.00
OI0000263,O000096,P0001,1,7,4300.00,0.00,30100.00
OI0000264,O000096,P0037,2,4,6650.00,10.00,23940.00
OI0000265,O000096,P0058,3,7,1830.00,0.00,12810.00
OI0000266,O000097,P0072,1,3,6730.00,15.00,17161.50
OI0000267,O000097,P0020,2,9,5780.00,15.00,44217.00
OI0000268,O000097,P0009,3,2,5290.00,0.00,10580.00
OI0000269,O000097,P0053,4,4,16730.00,0.00,66920.00
OI0000270,O000098,P0027,1,11,4890.00,0.00,53790.00
OI0000271,O000098,P0025,2,11,13240.00,10.00,131076.00
OI0000272,O000098,P0025,3,1,13240.00,15.00,11254.00
OI0000273,O000099,P0055,1,12,16840.00,0.00,202080.00
OI0000274,O000099,P0071,2,10,16680.00,0.00,166800.00
OI0000275,O000099,P0037,3,4,6650.00,10.00,23940.00
OI0000276,O000099,P0071,4,8,16680.00,15.00,113424.00
OI0000277,O000099,P0070,5,2,13990.00,15.00,23783.00
OI0000278,O000100,P0065,1,1,10680.00,5.00,10146.00
OI0000279,O000100,P0018,2,8,670.00,0.00,5360.00
OI0000280,O000101,P0010,1,5,3500.00,0.00,17500.00
OI0000281,O000101,P0025,2,12,13240.00,0.00,158880.00
OI0000282,O000102,P0048,1,5,12050.00,0.00,60250.00
OI0000283,O000102,P0068,2,9,2100.00,15.00,16065.00
OI0000284,O000102,P0039,3,10,3060.00,0.00,30600.00
OI0000285,O000102,P0042,4,12,2830.00,0.00,33960.00
OI0000286,O000102,P0058,5,11,1830.00,0.00,20130.00
OI0000287,O000103,P0052,1,6,13500.00,5.00,76950.00
OI0000288,O000104,P0019,1,8,7370.00,0.00,58960.00
OI0000289,O000104,P0058,2,3,1830.00,0.00,5490.00
OI0000290,O000104,P0035,3,4,14850.00,15.00,50490.00
OI0000291,O000105,P0054,1,10,10100.00,15.00,85850.00
OI0000292,O000105,P0036,2,11,10120.00,0.00,111320.00
OI0000293,O000105,P0028,3,3,9080.00,15.00,23154.00
OI0000294,O000105,P0054,4,1,10100.00,0.00,10100.00
OI0000295,O000106,P0079,1,6,15570.00,15.00,79407.00
OI0000296,O000106,P0028,2,10,9080.00,0.00,90800.00
OI0000297,O000107,P0009,1,9,5290.00,10.00,42849.00
OI0000298,O000108,P0015,1,8,8020.00,0.00,64160.00
OI0000299,O000108,P0015,2,6,8020.00,0.00,48120.00
OI0000300,O000108,P0042,3,4,2830.00,0.00,11320.00
OI0000301,O000108,P0050,4,10,14600.00,0.00,146000.00
OI0000302,O000109,P0049,1,5,16150.00,15.00,68637.50
OI0000303,O000109,P0047,2,3,2190.00,5.00,6241.50
OI0000304,O000109,P0013,3,9,9840.00,5.00,84132.00
OI0000305,O000109,P0065,4,2,10680.00,0.00,21360.00
OI0000306,O000109,P0003,5,4,14640.00,10.00,52704.00
OI0000307,O000110,P0048,1,5,12050.00,0.00,60250.00
OI0000308,O000110,P0045,2,7,14880.00,10.00,93744.00
OI0000309,O000110,P0012,3,8,6280.00,0.00,50240.00
OI0000310,O000110,P0035,4,9,14850.00,5.00,126967.50
OI0000311,O000111,P0012,1,3,6280.00,0.00,18840.00
OI0000312,O000112,P0058,1,8,1830.00,10.00,13176.00
OI0000313,O000113,P0030,1,10,340.00,0.00,3400.00
OI0000314,O000113,P0068,2,5,2100.00,15.00,8925.00
OI0000315,O000114,P0036,1,2,10120.00,15.00,17204.00
OI0000316,O000114,P0036,2,8,10120.00,0.00,80960.00
OI0000317,O000115,P0064,1,4,8250.00,0.00,33000.00
OI0000318,O000116,P0061,1,7,9420.00,5.00,62643.00
OI0000319,O000116,P0050,2,11,14600.00,0.00,160600.00
OI0000320,O000116,P0007,3,11,4920.00,0.00,54120.00
OI0000321,O000116,P0077,4,5,14410.00,15.00,61242.50
OI0000322,O000117,P0069,1,12,12320.00,0.00,147840.00
OI0000323,O000117,P0055,2,8,16840.00,10.00,121248.00
OI0000324,O000118,P0051,1,8,12120.00,0.00,96960.00
OI0000325,O000119,P0043,1,2,9450.00,10.00,17010.00
OI0000326,O000120,P0040,1,12,17530.00,0.00,210360.00
OI0000327,O000120,P0055,2,7,16840.00,0.00,117880.00
OI0000328,O000120,P0066,3,5,11920.00,0.00,59600.00
OI0000329,O000120,P0043,4,11,9450.00,5.00,98752.50
OI0000330,O000121,P0062,1,8,8730.00,5.00,66348.00
OI0000331,O000122,P0020,1,4,5780.00,0.00,23120.00
OI0000332,O000122,P0030,2,5,340.00,10.00,1530.00
OI0000333,O000123,P0079,1,3,15570.00,15.00,39703.50
OI0000334,O000123,P0072,2,8,6730.00,10.00,48456.00
OI0000335,O000124,P0014,1,1,14460.00,15.00,12291.00
OI0000336,O000124,P0013,2,11,9840.00,0.00,108240.00
OI0000337,O000124,P0044,3,3,13780.00,0.00,41340.00
OI0000338,O000124,P0008,4,8,5830.00,0.00,46640.00
OI0000339,O000124,P0053,5,8,16730.00,5.00,127148.00
OI0000340,O000125,P0015,1,10,8020.00,15.00,68170.00
OI0000341,O000125,P0080,2,1,5590.00,10.00,5031.00
OI0000342,O000125,P0025,3,12,13240.00,15.00,135048.00
OI0000343,O000126,P0014,1,5,14460.00,0.00,72300.00
OI0000344,O000126,P0051,2,10,12120.00,5.00,115140.00
OI0000345,O000126,P0048,3,10,12050.00,0.00,120500.00
OI0000346,O000126,P0067,4,10,16160.00,15.00,137360.00
OI0000347,O000126,P0054,5,7,10100.00,5.00,67165.00
OI0000348,O000127,P0013,1,5,9840.00,10.00,44280.00
OI0000349,O000127,P0047,2,3,2190.00,15.00,5584.50
OI0000350,O000128,P0053,1,5,16730.00,0.00,83650.00
OI0000351,O000128,P0054,2,8,10100.00,10.00,72720.00
OI0000352,O000129,P0011,1,5,6240.00,0.00,31200.00
OI0000353,O000130,P0050,1,2,14600.00,0.00,29200.00
OI0000354,O000131,P0006,1,8,570.00,0.00,4560.00
OI0000355,O000131,P0076,2,9,8140.00,0.00,73260.00
OI0000356,O000131,P0021,3,12,17850.00,0.00,214200.00
OI0000357,O000132,P0015,1,4,8020.00,0.00,32080.00
OI0000358,O000133,P0018,1,4,670.00,0.00,2680.00
OI0000359,O000133,P0055,2,4,16840.00,10.00,60624.00
OI0000360,O000133,P0004,3,3,16440.00,0.00,49320.00
OI0000361,O000133,P0001,4,10,4300.00,5.00,40850.00
OI0000362,O000134,P0046,1,10,7120.00,5.00,67640.00
OI0000363,O000134,P0056,2,1,10190.00,5.00,9680.50
OI0000364,O000134,P0064,3,12,8250.00,0.00,99000.00
OI0000365,O000134,P0062,4,2,8730.00,0.00,17460.00
OI0000366,O000135,P0054,1,12,10100.00,0.00,121200.00
OI0000367,O000136,P0055,1,9,16840.00,0.00,151560.00
OI0000368,O000136,P0046,2,12,7120.00,10.00,76896.00
OI0000369,O000137,P0077,1,4,14410.00,15.00,48994.00
OI0000370,O000137,P0020,2,4,5780.00,0.00,23120.00
OI0000371,O000137,P0062,3,5,8730.00,0.00,43650.00
OI0000372,O000137,P0014,4,9,14460.00,15.00,110619.00
OI0000373,O000138,P0018,1,1,670.00,0.00,670.00
OI0000374,O000138,P0058,2,3,1830.00,5.00,5215.50
OI0000375,O000138,P0036,3,8,10120.00,0.00,80960.00
OI0000376,O000138,P0034,4,9,10570.00,5.00,90373.50
OI0000377,O000139,P0049,1,3,16150.00,0.00,48450.00
OI0000378,O000139,P0031,2,4,3650.00,10.00,13140.00
OI0000379,O000140,P0049,1,8,16150.00,0.00,129200.00
OI0000380,O000140,P0016,2,2,8740.00,0.00,17480.00
OI0000381,O000140,P0078,3,2,7660.00,5.00,14554.00
OI0000382,O000140,P0073,4,7,1430.00,10.00,9009.00
OI0000383,O000141,P0049,1,12,16150.00,15.00,164730.00
OI0000384,O000141,P0063,2,1,3720.00,10.00,3348.00
OI0000385,O000141,P0027,3,9,4890.00,0.00,44010.00
OI0000386,O000141,P0026,4,11,13420.00,15.00,125477.00
OI0000387,O000142,P0062,1,7,8730.00,15.00,51943.50
OI0000388,O000142,P0002,2,9,12930.00,0.00,116370.00
OI0000389,O000142,P0009,3,9,5290.00,10.00,42849.00
OI0000390,O000142,P0021,4,11,17850.00,15.00,166897.50
OI0000391,O000142,P0067,5,9,16160.00,15.00,123624.00
OI0000392,O000143,P0003,1,4,14640.00,5.00,55632.00
OI0000393,O000143,P0064,2,6,8250.00,0.00,49500.00
OI0000394,O000143,P0051,3,10,12120.00,10.00,109080.00
OI0000395,O000143,P0022,4,12,8500.00,10.00,91800.00
OI0000396,O000143,P0001,5,4,4300.00,0.00,17200.00
OI0000397,O000144,P0047,1,9,2190.00,0.00,19710.00
OI0000398,O000144,P0044,2,6,13780.00,0.00,82680.00
OI0000399,O000144,P0079,3,8,15570.00,0.00,124560.00
OI0000400,O000144,P0044,4,2,13780.00,0.00,27560.00
OI0000401,O000144,P0065,5,10,10680.00,0.00,106800.00
OI0000402,O000145,P0026,1,3,13420.00,0.00,40260.00
OI0000403,O000146,P0020,1,10,5780.00,0.00,57800.00
OI0000404,O000146,P0068,2,2,2100.00,15.00,3570.00
OI0000405,O000146,P0022,3,1,8500.00,5.00,8075.00
OI0000406,O000147,P0030,1,12,340.00,10.00,3672.00
OI0000407,O000148,P0069,1,1,12320.00,5.00,11704.00
OI0000408,O000149,P0075,1,5,14230.00,10.00,64035.00
OI0000409,O000149,P0052,2,8,13500.00,0.00,108000.00
OI0000410,O000149,P0012,3,3,6280.00,10.00,16956.00
OI0000411,O000149,P0061,4,1,9420.00,0.00,9420.00
OI0000412,O000149,P0040,5,3,17530.00,5.00,49960.50
OI0000413,O000150,P0032,1,7,330.00,15.00,1963.50
OI0000414,O000150,P0046,2,2,7120.00,0.00,14240.00
OI0000415,O000151,P0073,1,10,1430.00,0.00,14300.00
OI0000416,O000152,P0052,1,7,13500.00,0.00,94500.00
OI0000417,O000152,P0033,2,9,800.00,0.00,7200.00
OI0000418,O000152,P0052,3,1,13500.00,0.00,13500.00
OI0000419,O000153,P0030,1,11,340.00,5.00,3553.00
OI0000420,O000153,P0046,2,3,7120.00,0.00,21360.00
OI0000421,O000153,P0041,3,12,12490.00,0.00,149880.00
OI0000422,O000153,P0054,4,8,10100.00,5.00,76760.00
OI0000423,O000153,P0003,5,11,14640.00,15.00,136884.00
OI0000424,O000154,P0015,1,1,8020.00,0.00,8020.00
OI0000425,O000155,P0072,1,1,6730.00,15.00,5720.50
OI0000426,O000156,P0080,1,3,5590.00,15.00,14254.50
OI0000427,O000157,P0078,1,11,7660.00,0.00,84260.00
OI0000428,O000157,P0016,2,5,8740.00,5.00,41515.00
OI0000429,O000157,P0013,3,1,9840.00,0.00,9840.00
OI0000430,O000158,P0008,1,3,5830.00,0.00,17490.00
OI0000431,O000158,P0076,2,11,8140.00,5.00,85063.00
OI0000432,O000159,P0007,1,4,4920.00,10.00,17712.00
OI0000433,O000159,P0014,2,10,14460.00,0.00,144600.00
OI0000434,O000159,P0011,3,5,6240.00,10.00,28080.00
OI0000435,O000160,P0061,1,1,9420.00,15.00,8007.00
