order_id,material_cost,shipping_cost
O-00073,1096.86,241.84
O-00074,1849.11,486.05
O-00075,2332.65,909.27
O-00076,1537.42,306.42
O-00077,1085.33,184.74
O-00078,512.27,361.11
O-00079,618.13,150.25
O-00080,1391.11,310.77
O-00081,666.28,173.61
O-00082,2223.58,377.5
O-00083,221.08,106.61
O-00084,148.31,32.17
O-00085,1318.12,146.0
O-00086,218.04,48.24
O-00087,918.38,70.02
O-00088,482.28,203.84
O-00089,170.32,31.66
O-00090,1539.31,633.87
O-00091,73.05,9.18
O-00092,1365.3,248.65
O-00093,411.34,142.75
O-00094,1054.63,120.92
O-00095,547.43,129.76
O-00096,5709.19,794.34
O-00097,452.45,150.3
O-00098,561.44,198.93
O-00099,339.73,86.47
O-00100,776.45,221.67
O-00101,6980.74,1443.1
O-00102,65.04,15.65
O-00103,753.09,153.96
O-00104,4504.22,527.43
O-00105,454.38,112.39
O-00106,68.31,7.23
O-00107,1163.02,177.12
O-00108,820.88,170.39
O-00109,4416.51,831.71
O-00110,993.81,176.57
O-00111,1195.23,100.57
O-00112,1413.1,351.53
O-00113,592.39,145.96
O-00114,517.42,49.81
O-00115,3117.65,445.71
O-00116,261.46,81.22
O-00117,3178.3,493.1
O-00118,4431.32,997.93
O-00119,3557.87,849.58
O-00120,3154.25,863.98
O-00121,2466.43,935.36
O-00122,1033.42,260.17
O-00123,670.43,220.56
O-00124,3966.39,517.4
O-00125,317.97,68.27
O-00126,520.24,128.75
O-00127,469.14,155.71
O-00128,1054.05,324.39
O-00129,1894.81,779.31
O-00130,1181.57,414.36
O-00131,436.74,158.86
O-00132,4063.51,945.4
O-00133,4493.38,1838.12
O-00134,1109.1,330.43
O-00135,2382.3,489.25
O-00136,1091.17,172.46
O-00137,3672.14,372.88
O-00138,3112.6,743.57
O-00139,900.25,235.16
O-00140,2289.01,705.85
O-00141,455.47,291.41
O-00142,227.83,27.19
O-00143,2067.89,418.47
O-00144,293.89,25.77
O-00145,729.2,81.71
O-00146,473.07,71.69
O-00147,167.92,73.97
O-00148,70.8,10.35
O-00149,732.3,107.83
O-00150,558.82,216.21
O-00151,2057.74,522.37
O-00152,2496.73,932.59
O-00153,3308.65,610.06
O-00154,244.98,148.33
O-00155,858.22,228.95
O-00156,3769.89,1279.59
O-00157,3098.11,518.47
O-00158,815.07,186.02
O-00159,7922.28,1374.78
O-00160,1257.65,219.43
O-00161,544.52,150.75
O-00162,195.98,30.83
O-00163,686.41,219.67
O-00164,1480.81,432.93
O-00165,589.37,174.42
O-00166,3496.96,1151.54
O-00167,446.97,184.33
O-00168,1728.19,371.61
O-00169,2972.89,606.29
O-00170,352.69,186.77
O-00171,1181.43,220.59
O-00172,996.52,240.98
O-00173,3199.74,400.27
O-00174,1014.7,503.83
O-00175,146.27,48.92
O-00176,1217.84,337.14
O-00177,601.24,229.43
O-00178,1512.64,264.79
O-00179,322.73,56.54
O-00180,2059.61,430.63
O-00181,234.4,57.86
O-00182,142.4,29.37
O-00183,299.88,53.22
O-00184,3001.33,217.77
O-00185,1644.71,206.25
O-00186,1353.11,501.22
O-00187,2353.77,588.48
O-00188,1302.19,417.82
O-00189,730.73,266.58
O-00190,494.03,104.61
O-00191,910.11,83.28
O-00192,798.11,447.28
O-00193,565.34,157.46
O-00194,325.74,95.98
O-00195,1423.83,770.21
O-00196,1069.81,305.9
O-00197,254.11,194.51
O-00198,3893.79,690.61
O-00199,744.28,87.88
O-00200,227.79,24.35
O-00201,846.64,87.85
O-00202,2626.62,366.13
O-00203,577.86,252.41
O-00204,849.6,87.3
O-00205,731.92,192.73
O-00206,368.1,47.92
O-00207,1807.32,349.3
O-00208,230.17,30.93
O-00209,4310.75,1448.31
O-00210,1808.05,565.65
O-00211,1075.12,706.18
O-00212,607.53,122.52
O-00213,270.08,141.98
O-00214,80.93,23.0
O-00215,7471.5,921.03
O-00216,1604.22,220.43
O-00217,229.45,70.17
O-00218,3674.84,1713.31
O-00219,1382.01,129.49
O-00220,551.95,94.31
O-00221,457.78,58.4
O-00222,881.37,174.0
O-00223,3356.05,930.36
O-00224,634.17,275.08
O-00225,6738.53,581.43
O-00226,2979.23,1077.01
O-00227,2086.37,310.85
O-00228,952.9,211.41
O-00229,803.35,190.32
O-00230,232.08,57.24
O-00231,2634.43,769.26
O-00232,1273.58,260.37
O-00233,1232.84,134.2
O-00234,337.74,76.91
O-00235,206.15,41.01
O-00236,629.35,219.51
O-00237,2379.11,757.04
O-00238,2071.27,428.23
O-00239,83.63,27.69
O-00240,568.07,82.37
O-00241,1098.37,258.82
O-00242,2652.37,1172.52
O-00243,1475.63,170.49
O-00244,260.89,74.27
O-00245,31.85,4.99
O-00246,1985.34,193.81
O-00247,1267.67,135.42
O-00248,360.48,89.64
O-00249,478.61,75.81
O-00250,5071.91,962.09
O-00251,919.56,266.78
O-00252,1076.76,113.3
O-00253,611.25,267.45
O-00254,590.86,433.35
O-00255,224.18,73.42
O-00256,804.02,145.11
O-00257,1203.84,220.15
O-00258,5699.22,1682.66
O-00259,4180.57,1069.71
O-00260,852.68,435.4
O-00261,248.27,77.28
O-00262,226.7,20.96
O-00263,542.38,193.83
O-00264,3217.57,906.07
O-00265,245.02,43.71
O-00266,2501.2,585.93
O-00267,1350.0,249.51
O-00268,2777.44,850.01
O-00269,2925.31,630.6
O-00270,566.38,149.86
O-00271,4966.19,702.98
O-00272,540.62,110.84
O-00273,4001.43,1183.91
O-00274,2028.33,549.26
O-00275,4672.07,1208.32
O-00276,586.71,222.96
O-00277,1160.84,193.09
O-00278,895.94,275.01
O-00279,1618.92,338.58
O-00280,1339.4,272.23
O-00281,245.53,75.6
O-00282,1323.37,362.72
O-00283,650.51,44.59
O-00284,184.96,64.12
O-00285,1735.97,472.49
O-00286,392.81,28.81
O-00287,2915.59,323.0
O-00288,1038.7,422.48
O-00289,304.79,73.21
O-00290,4018.78,717.55
O-00291,189.97,48.17
O-00292,629.49,252.22
O-00293,955.03,261.28
O-00294,7703.15,969.84
O-00295,662.8,166.6
O-00296,2410.19,609.52
O-00297,580.44,99.64
O-00298,4168.75,1237.24
O-00299,137.72,51.52
O-00300,1318.89,379.22
O-00301,843.3,414.56
O-00302,3779.06,2408.64
O-00303,575.11,217.92
O-00304,1341.77,189.03
O-00305,303.13,50.59
O-00306,1792.49,170.65
O-00307,2852.58,728.2
O-00308,5300.7,1487.11
O-00309,2493.78,637.05
O-00310,393.98,182.95
O-00311,336.02,110.52
O-00312,1129.82,422.68
O-00313,1026.9,474.92
O-00314,4789.63,1251.69
O-00315,2128.21,463.03
O-00316,428.26,166.62
O-00317,1921.59,215.71
O-00318,428.57,124.42
O-00319,8814.4,1871.76
O-00320,3342.04,962.25
O-00321,1244.97,412.14
O-00322,694.5,134.43
O-00323,1507.45,472.02
O-00324,1278.12,320.15
O-00325,3906.74,671.38
O-00326,2982.04,722.61
O-00327,616.94,202.6
O-00328,1637.11,203.51
O-00329,340.95,78.22
O-00330,2399.06,706.55
O-00331,6923.13,1982.76
O-00332,636.68,194.94
O-00333,1045.03,269.51
O-00334,4790.21,990.04
O-00335,8561.34,1022.2
O-00336,1425.7,176.56
O-00337,3381.32,346.1
O-00338,655.15,91.39
O-00339,439.45,56.57
O-00340,150.88,21.1
O-00341,38.75,15.68
O-00342,918.05,275.21
O-00343,3587.76,1388.75
O-00344,2533.1,939.15
O-00345,950.72,201.22
O-00346,1251.94,443.34
O-00347,1188.3,298.78
O-00348,2939.17,1246.65
O-00349,302.37,52.02
O-00350,686.33,196.31
O-00351,777.68,117.89
O-00352,1435.1,570.42
O-00353,604.2,317.9
O-00354,1845.09,593.14
O-00355,891.69,137.21
O-00356,709.85,326.95
O-00357,987.83,438.95
O-00358,2804.57,870.14
O-00359,1537.11,268.69
O-00360,2388.91,275.24
O-00361,725.73,405.02
O-00362,3193.62,944.64
O-00363,2342.04,1634.46
O-00364,529.82,162.57
O-00365,384.29,32.58
O-00366,4183.95,729.93
O-00367,613.09,304.74
O-00368,1787.15,220.9
O-00369,336.63,106.2
O-00370,5014.08,2260.62
O-00371,5052.91,1299.34
O-00372,907.8,105.04
O-00373,2026.52,524.46
O-00374,2608.7,1305.73
O-00375,5963.57,1772.61
O-00376,1065.24,237.43
O-00377,830.07,246.01
O-00378,828.75,173.28
O-00379,420.4,89.28
O-00380,3399.78,1591.49
O-00381,1213.63,342.65
O-00382,2850.17,573.97
O-00383,1395.06,433.82
O-00384,1040.87,169.12
O-00385,230.58,54.17
O-00386,713.19,166.21
O-00387,1494.41,273.3
O-00388,3998.58,1222.58
O-00389,2461.01,1265.72
O-00390,1256.87,211.93
O-00391,443.7,212.38
O-00392,1287.58,168.31
O-00393,419.23,116.62
O-00394,49.85,14.1
O-00395,284.29,68.19
O-00396,586.55,100.18
O-00397,2420.27,464.33
O-00398,1206.52,309.61
O-00399,2893.05,446.68
O-00400,86.33,20.32
O-00401,6128.56,671.48
O-00402,6945.41,1241.53
O-00403,1709.88,230.84
O-00404,1245.21,339.77
O-00405,484.94,122.65
O-00406,1163.59,500.28
O-00407,104.9,28.34
O-00408,468.22,195.31
O-00409,1402.82,322.08
O-00410,1590.87,907.91
O-00411,274.24,83.24
O-00412,6961.67,2110.03
O-00413,5605.32,922.11
O-00414,1047.87,231.85
O-00415,3109.1,742.01
O-00416,545.91,233.07
O-00417,1027.59,250.06
O-00418,2496.84,680.84
O-00419,422.55,104.2
O-00420,740.37,281.12
O-00421,1511.76,190.61
O-00422,251.31,95.68
O-00423,204.32,81.92
O-00424,1645.6,505.68
O-00425,335.7,112.83
O-00426,475.64,114.1
O-00427,622.95,118.85
O-00428,74.86,35.4
O-00429,1805.33,563.02
O-00430,541.3,165.06
O-00431,441.91,187.26
O-00432,2263.9,917.97
O-00433,2940.47,556.58
O-00434,1562.75,344.79
O-00435,1505.96,677.38
O-00436,1341.71,354.24
O-00437,1411.18,129.68
O-00438,2243.52,801.97
O-00439,2777.87,342.11
O-00440,1500.48,154.95
O-00441,1175.91,282.93
O-00442,145.31,77.51
O-00443,963.88,308.41
O-00444,1108.6,147.51
O-00445,2138.11,230.37
O-00446,374.95,112.09
O-00447,735.75,192.51
O-00448,567.71,122.94
O-00449,1029.73,93.62
O-00450,410.1,161.92
O-00451,5253.08,671.07
O-00452,2808.74,1524.92
O-00453,360.76,24.96
O-00454,1112.42,91.13
O-00455,708.09,177.15
O-00456,6176.85,1334.13
O-00457,1688.44,280.53
O-00458,3741.4,761.92
O-00459,1401.86,417.29
O-00460,930.18,669.58
O-00461,3736.29,1385.74
O-00462,3963.44,487.25
O-00463,2110.16,359.02
O-00464,397.95,67.31
O-00465,2242.09,1151.42
O-00466,1317.8,238.09
O-00467,2842.21,641.59
O-00468,501.9,49.86
O-00469,573.85,218.22
O-00470,4591.93,1039.76
O-00471,897.08,329.29
O-00472,3781.08,629.68
O-00473,80.63,49.74
O-00474,1450.91,651.13
O-00475,1028.56,255.17
O-00476,4725.57,420.31
O-00477,285.13,40.12
O-00478,1103.18,161.3
O-00479,646.34,115.26
O-00480,1109.07,183.72
O-00481,865.0,317.95
O-00482,467.58,57.39
O-00483,484.16,111.32
O-00484,4461.47,1080.72
O-00485,700.4,267.71
O-00486,934.53,335.28
O-00487,5747.34,1934.8
O-00488,335.09,74.85
O-00489,163.29,33.12
O-00490,776.09,216.63
O-00491,5146.66,1314.52
O-00492,598.48,116.89
O-00493,2562.78,900.45
O-00494,705.7,92.5
O-00495,306.87,61.74
O-00496,55.98,21.03
O-00497,1124.59,140.96
O-00498,1537.99,413.96
O-00499,409.76,65.37
O-00500,191.46,63.4
O-00501,266.82,28.25
O-00502,336.81,88.44
O-00503,2203.54,799.92
O-00504,132.57,15.74
O-00505,946.36,267.26
O-00506,205.41,50.84
O-00507,1609.45,422.91
O-00508,624.91,227.11
O-00509,4849.81,1310.05
O-00510,2715.05,971.1
O-00511,1827.39,149.5
O-00512,1273.52,336.11
O-00513,126.01,28.51
O-00514,199.19,104.92
O-00515,2070.17,933.02
O-00516,570.9,52.81
O-00517,308.69,167.45
O-00518,1759.82,445.79
O-00519,814.43,117.95
O-00520,4726.32,667.74
O-00521,297.27,161.3
O-00522,123.21,54.47
O-00523,701.69,105.24
O-00524,21.28,13.17
O-00525,1685.99,674.79
O-00526,270.0,86.63
O-00527,576.61,181.32
O-00528,1387.72,414.79
O-00529,407.69,173.23
O-00530,962.25,275.18
O-00531,2855.2,881.93
O-00532,77.15,28.41
O-00533,667.24,163.2
O-00534,399.43,40.74
O-00535,490.02,84.25
O-00536,7013.31,759.05
O-00537,906.33,365.33
O-00538,877.07,86.59
O-00539,601.8,84.01
O-00540,473.32,126.94
O-00541,3701.06,1628.95
O-00542,3283.39,1795.78
O-00543,2890.13,247.68
O-00544,1125.35,260.8
O-00545,1043.13,235.37
O-00546,297.21,98.12
O-00547,4166.03,986.32
O-00548,944.69,180.03
O-00549,3072.46,1937.55
O-00550,990.57,122.19
O-00551,751.92,190.99
O-00552,4159.89,2066.23
O-00553,282.34,58.94
O-00554,1933.63,557.13
O-00555,466.81,87.91
O-00556,106.38,21.0
O-00557,1808.43,148.38
O-00558,3419.62,487.0
O-00559,303.24,105.87
O-00560,4694.23,974.56
O-00561,1356.35,266.4
O-00562,351.23,81.97
O-00563,794.54,372.74
O-00564,5725.12,540.3
O-00565,3336.82,772.37
O-00566,4235.77,507.26
O-00567,2276.97,541.26
O-00568,298.96,96.67
O-00569,5594.61,1612.99
O-00570,611.63,242.14
O-00571,4485.25,2569.06
O-00572,472.92,130.41
O-00573,77.33,42.46
O-00574,3250.24,1402.28
O-00575,724.91,216.44
O-00576,2448.32,579.71
O-00577,734.11,265.34
O-00578,1161.13,303.67
O-00579,3452.4,810.79
O-00580,1502.94,521.54
O-00581,749.94,329.69
O-00582,2810.5,938.45
O-00583,1117.99,322.45
O-00584,1795.5,420.83
O-00585,471.26,174.99
O-00586,336.67,96.63
O-00587,1882.55,361.58
O-00588,1006.4,183.69
O-00589,1850.74,677.36
O-00590,1046.61,467.86
O-00591,1421.61,359.68
O-00592,5054.58,507.81
O-00593,3467.5,625.16
O-00594,2829.55,1105.8
O-00595,1087.5,298.43
O-00596,1798.19,500.45
O-00597,1469.35,463.64
O-00598,525.82,186.52
O-00599,245.17,72.17
O-00600,446.85,191.79
O-00601,2296.93,627.68
O-00602,1964.72,466.16
O-00603,647.17,127.3
O-00604,1218.67,255.79
O-00605,229.19,117.97
O-00606,824.25,348.67
O-00607,935.19,297.75
O-00608,10130.31,2223.51
O-00609,946.8,265.67
O-00610,2819.52,738.12
O-00611,1001.92,351.31
O-00612,708.8,62.22
O-00613,833.3,232.17
O-00614,637.61,341.2
O-00615,3111.07,279.63
O-00616,192.88,26.97
O-00617,3796.46,1128.89
O-00618,6360.49,1772.3
O-00619,482.39,122.75
O-00620,2155.34,460.71
O-00621,1999.78,834.33
O-00622,8734.44,1353.0
O-00623,3221.21,655.11
O-00624,6508.61,652.72
O-00625,584.82,336.67
O-00626,1419.18,805.38
O-00627,2391.96,810.78
O-00628,933.06,207.18
O-00629,2692.34,738.15
O-00630,579.43,128.32
O-00631,529.9,106.32
O-00632,1686.56,401.56
O-00633,2408.38,393.01
O-00634,1768.3,554.15
O-00635,402.93,198.08
O-00636,5293.58,1348.81
O-00637,243.73,119.76
O-00638,3958.24,404.66
O-00639,330.64,150.6
O-00640,1766.85,557.53
O-00641,2216.15,188.03
O-00642,3071.43,643.96
O-00643,2601.86,622.4
O-00644,744.8,243.76
O-00645,326.72,90.36
O-00646,359.72,139.6
O-00647,3652.82,943.59
O-00648,625.82,138.35
O-00649,1413.82,371.79
O-00650,1193.0,221.42
O-00651,573.34,265.14
O-00652,1972.28,381.8
O-00653,62.71,15.53
O-00654,796.5,101.54
O-00655,545.61,252.17
O-00656,1464.26,255.09
O-00657,2552.55,353.84
O-00658,1396.39,338.11
O-00659,5707.22,1579.38
O-00660,960.8,389.8
O-00661,648.01,301.61
O-00662,78.81,15.47
O-00663,8382.07,1146.64
O-00664,280.22,45.85
O-00665,166.64,70.98
O-00666,708.95,239.59
O-00667,6548.42,1573.71
O-00668,363.48,63.78
O-00669,1625.11,216.5
O-00670,217.05,82.32
O-00671,551.84,409.12
O-00672,812.2,154.25
O-00673,971.64,258.24
O-00674,5293.55,946.02
O-00675,2060.2,695.62
O-00676,4725.79,578.91
O-00677,4469.04,1461.89
O-00678,1358.12,439.34
O-00679,827.33,72.58
O-00680,789.13,198.81
O-00681,5828.02,2295.2
O-00682,545.69,65.25
O-00683,1959.34,359.29
O-00684,130.45,44.33
O-00685,503.61,100.56
O-00686,1121.44,185.51
O-00687,1147.46,364.45
O-00688,2071.96,183.89
O-00689,1103.09,220.5
O-00690,1010.65,212.88
O-00691,820.3,129.43
O-00692,145.07,64.16
O-00693,667.99,243.42
O-00694,1109.71,349.37
O-00695,2908.76,1182.52
O-00696,437.27,88.1
O-00697,1287.71,435.13
O-00698,326.1,41.37
O-00699,2730.9,646.56
O-00700,1370.71,387.45
O-00701,930.92,161.33
O-00702,1778.12,254.79
O-00703,3253.16,1741.09
O-00704,1565.95,782.42
O-00705,1550.92,183.63
O-00706,7155.9,888.72
O-00707,102.11,8.82
O-00708,1037.34,199.82
O-00709,1231.69,286.88
O-00710,571.54,68.17
O-00711,123.41,31.37
O-00712,898.8,337.25
O-00713,2407.23,986.92
O-00714,5567.19,1231.68
O-00715,1587.9,399.93
O-00716,4805.56,670.45
O-00717,288.76,41.3
O-00718,1318.86,507.9
O-00719,11217.48,1330.77
O-00720,1668.85,194.98
O-00721,142.97,98.89
O-00722,157.19,48.86
O-00723,740.07,85.62
O-00724,3028.74,667.59
O-00725,45.92,5.44
O-00726,1306.18,246.51
O-00727,967.87,219.18
O-00728,6025.22,1635.32
O-00729,142.84,68.65
O-00730,2086.24,181.43
O-00731,2422.78,978.17
O-00732,3224.08,984.38
O-00733,1806.71,204.95
O-00734,7740.12,2123.44
O-00735,266.97,60.37
O-00736,2341.48,655.44
O-00737,181.28,53.34
O-00738,346.28,120.11
O-00739,274.24,29.22
O-00740,3607.5,1385.01
O-00741,3718.64,851.53
O-00742,1181.77,849.52
O-00743,225.07,41.13
O-00744,2011.66,300.29
O-00745,3156.2,772.2
O-00746,1895.33,386.13
O-00747,1045.77,387.03
O-00748,82.79,13.53
O-00749,1278.51,189.64
O-00750,1883.91,389.75
O-00751,563.55,94.14
O-00752,4680.02,751.49
O-00753,606.22,460.31
O-00754,3431.7,1006.67
O-00755,2857.56,647.72
O-00756,805.79,313.94
O-00757,736.59,218.98
O-00758,515.86,201.57
O-00759,179.37,67.73
O-00760,1950.98,352.28
O-00761,5397.69,1201.94
O-00762,958.06,240.21
O-00763,873.59,271.64
O-00764,477.4,79.21
O-00765,9423.7,1881.51
O-00766,105.79,75.85
O-00767,1017.36,157.2
O-00768,1421.71,129.09
O-00769,742.09,243.33
O-00770,889.92,87.05
O-00771,441.89,139.42
O-00772,463.18,283.55
O-00773,229.93,104.26
O-00774,8186.75,872.76
O-00775,395.06,113.13
O-00776,1934.83,465.47
O-00777,1100.15,166.17
O-00778,1283.05,285.81
O-00779,1770.38,839.1
O-00780,2333.55,371.93
O-00781,1097.25,193.83
O-00782,551.15,233.07
O-00783,3152.87,995.71
O-00784,650.79,169.39
O-00785,1361.16,176.14
O-00786,2384.68,535.02
O-00787,682.6,114.78
O-00788,2076.46,186.96
O-00789,94.81,70.62
O-00790,5538.29,1276.42
O-00791,389.56,153.12
O-00792,435.11,81.75
O-00793,231.68,52.82
O-00794,1268.84,386.97
O-00795,1366.03,281.55
O-00796,3910.89,915.25
O-00797,4170.02,971.64
O-00798,1917.36,1134.54
O-00799,572.54,161.24
O-00800,5143.84,766.3
O-00801,1473.4,389.55
O-00802,2488.5,798.02
O-00803,1750.33,296.98
O-00804,4653.25,1389.58
O-00805,1562.31,255.76
O-00806,631.91,149.31
O-00807,701.27,194.89
O-00808,802.43,119.0
O-00809,3741.86,305.65
O-00810,324.38,61.14
O-00811,1224.19,464.41
O-00812,5273.52,895.1
O-00813,484.79,92.83
O-00814,1019.27,144.84
O-00815,392.8,188.93
O-00816,329.1,98.34
O-00817,1951.23,565.71
O-00818,878.98,309.99
O-00819,2460.49,297.39
O-00820,234.77,64.77
O-00821,1794.2,544.69
O-00822,4796.77,2517.84
O-00823,642.92,308.86
O-00824,339.02,141.13
O-00825,33.42,13.2
O-00826,887.77,277.63
O-00827,1238.07,204.57
O-00828,2965.97,624.94
O-00829,393.82,51.65
O-00830,1899.49,327.37
O-00831,64.53,25.31
O-00832,110.89,39.62
O-00833,482.7,126.43
O-00834,2575.66,1326.95
O-00835,427.22,109.3
O-00836,886.39,218.55
O-00837,238.59,73.08
O-00838,5312.36,1864.74
O-00839,652.54,220.46
O-00840,1290.81,139.91
O-00841,868.01,338.35
O-00842,1740.07,535.81
O-00843,264.55,138.52
O-00844,2542.72,657.77
O-00845,1687.41,271.93
O-00846,131.37,95.92
O-00847,3409.84,694.6
O-00848,370.99,87.49
O-00849,6113.77,1442.4
O-00850,196.97,81.88
O-00851,1152.46,644.18
O-00852,149.87,27.88
O-00853,1053.0,304.34
O-00854,3064.93,1657.52
O-00855,323.07,188.3
O-00856,1244.05,446.99
O-00857,623.86,160.34
O-00858,390.45,63.24
O-00859,1029.39,501.2
O-00860,137.4,72.51
O-00861,7369.38,2035.07
O-00862,243.63,140.04
O-00863,575.09,199.67
O-00864,856.43,156.99
O-00865,57.8,14.27
O-00866,884.52,216.71
O-00867,388.56,167.81
O-00868,3203.27,573.81
O-00869,309.58,54.99
O-00870,1618.37,240.11
O-00871,34.58,13.47
O-00872,5004.75,582.01
O-00873,433.38,147.28
O-00874,2456.41,546.84
O-00875,6300.93,700.17
O-00876,631.69,198.14
O-00877,367.38,102.7
O-00878,5899.2,1702.19
O-00879,679.24,184.06
O-00880,822.84,128.0
O-00881,956.63,171.81
O-00882,2232.67,281.44
O-00883,2393.85,646.51
O-00884,648.98,226.08
O-00885,559.89,149.8
O-00886,7305.04,2038.41
O-00887,700.64,154.88
O-00888,8550.52,2244.32
O-00889,1064.17,262.74
O-00890,1221.21,647.89
O-00891,208.01,76.93
O-00892,605.52,345.64
O-00893,158.17,40.97
O-00894,1978.4,466.74
O-00895,1465.49,363.34
O-00896,9109.79,670.05
O-00897,1113.69,370.27
O-00898,1667.57,282.06
O-00899,576.35,201.26
O-00900,479.42,144.08
O-00901,1829.67,1193.75
O-00902,9538.79,1828.42
O-00903,294.54,96.41
O-00904,623.71,181.35
O-00905,925.88,281.44
O-00906,2640.67,678.11
O-00907,917.63,258.79
O-00908,397.7,54.59
O-00909,2944.32,383.74
O-00910,821.82,175.74
O-00911,3362.58,361.12
O-00912,766.16,377.88
O-00913,1102.48,146.1
O-00914,1293.3,193.23
O-00915,1471.68,680.82
O-00916,2869.04,691.03
O-00917,522.17,106.66
O-00918,3883.69,708.11
O-00919,778.24,174.44
O-00920,2912.18,1289.09
O-00921,476.5,160.83
O-00922,581.63,210.53
O-00923,6548.07,1154.28
O-00924,407.09,70.4
O-00925,2419.66,558.9
O-00926,2509.83,655.88
O-00927,607.69,362.22
O-00928,7389.53,1781.59
O-00929,273.98,45.06
O-00930,4495.75,1258.84
O-00931,4044.52,1284.21
O-00932,1834.52,534.33
O-00933,816.84,250.45
O-00934,309.32,49.31
O-00935,736.8,84.31
O-00936,1019.42,116.88
O-00937,339.51,184.54
O-00938,52.18,15.01
O-00939,1390.81,475.37
O-00940,754.37,279.9
O-00941,6122.77,1577.56
O-00942,250.57,45.05
O-00943,165.17,37.1
O-00944,5470.51,1474.01
O-00945,564.95,156.1
O-00946,821.96,188.86
O-00947,3079.63,1661.69
O-00948,573.69,201.2
O-00949,424.74,98.82
O-00950,624.97,248.28
O-00951,2661.61,769.66
O-00952,4128.71,640.92
O-00953,4005.65,930.72
O-00954,1379.56,350.69
O-00955,970.18,465.36
O-00956,1017.31,231.87
O-00957,1818.22,697.41
O-00958,822.78,107.23
O-00959,317.32,156.64
O-00960,6604.9,1292.41
O-00961,2758.89,533.63
O-00962,304.78,35.49
O-00963,246.67,39.42
O-00964,2844.86,1005.92
O-00965,818.9,287.14
O-00966,314.11,157.08
O-00967,925.55,289.78
O-00968,265.64,38.28
O-00969,2683.47,613.82
O-00970,1546.26,208.71
O-00971,5382.76,609.5
O-00972,3455.18,1261.59
O-00973,1666.05,201.2
O-00974,777.87,124.3
O-00975,398.41,218.18
O-00976,1377.73,130.62
O-00977,627.55,123.02
O-00978,1527.24,290.43
O-00979,293.21,83.07
O-00980,5217.38,988.63
O-00981,1609.51,532.39
O-00982,2574.06,413.87
O-00983,897.53,76.63
O-00984,3518.47,1271.57
O-00985,32.2,11.88
O-00986,1918.96,333.23
O-00987,361.8,136.34
O-00988,832.93,283.36
O-00989,1626.53,555.8
O-00990,382.3,41.3
O-00991,1718.6,714.4
O-00992,1581.6,349.7
O-00993,66.48,19.61
O-00994,106.75,46.23
O-00995,65.16,9.09
O-00996,1169.36,203.77
O-00997,420.23,83.48
O-00998,992.15,217.45
O-00999,416.91,178.01
O-01000,1104.68,455.77
