order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,quarter
O-00125,C-0002,P-103,2025-09-08,4,237.93,951.72,Q3
O-00126,C-0047,P-103,2025-12-29,5,238.11,1190.55,Q4
O-00127,C-0094,P-104,2025-11-30,9,152.34,1371.06,Q4
O-00128,C-0069,P-103,2025-08-27,14,272.25,3811.5,Q3
O-00129,C-0076,P-102,2025-06-15,8,872.6,6980.8,Q2
O-00130,C-0012,P-102,2025-08-19,8,850.13,6801.04,Q3
O-00131,C-0073,P-104,2025-12-09,13,137.66,1789.58,Q4
O-00132,C-0064,P-102,2025-04-04,16,699.39,11190.24,Q2
O-00133,C-0034,P-102,2025-05-24,20,836.33,16726.6,Q2
O-00134,C-0036,P-104,2025-01-06,17,169.77,2886.09,Q1
O-00135,C-0011,P-101,2025-07-28,16,397.72,6363.52,Q3
O-00136,C-0031,P-103,2025-11-27,16,239.22,3827.52,Q4
O-00137,C-0003,P-100,2025-05-31,8,1129.85,9038.8,Q2
O-00138,C-0032,P-102,2025-12-06,19,743.33,14123.27,Q4
O-00139,C-0071,P-104,2025-06-26,14,172.32,2412.48,Q2
O-00140,C-0071,P-102,2025-06-30,15,715.86,10737.9,Q2
O-00141,C-0033,P-101,2025-03-03,7,364.18,2549.26,Q1
O-00142,C-0096,P-104,2025-12-20,6,130.06,780.36,Q4
O-00143,C-0095,P-103,2025-05-22,19,285.45,5423.55,Q2
O-00144,C-0068,P-104,2025-05-25,4,163.71,654.84,Q2
O-00145,C-0038,P-101,2025-07-04,6,362.32,2173.92,Q3
O-00146,C-0091,P-104,2025-03-06,9,122.39,1101.51,Q1
O-00147,C-0007,P-104,2025-05-30,5,153.49,767.45,Q2
O-00148,C-0097,P-103,2025-02-22,1,250.23,250.23,Q1
O-00149,C-0061,P-103,2025-08-14,11,216.13,2377.43,Q3
O-00150,C-0007,P-102,2025-09-02,4,870.19,3480.76,Q3
O-00151,C-0052,P-103,2025-02-07,19,255.08,4846.52,Q1
O-00152,C-0007,P-101,2025-03-18,19,452.88,8604.72,Q1
O-00153,C-0011,P-101,2025-03-02,18,427.02,7686.36,Q1
O-00154,C-0078,P-104,2025-11-13,8,160.72,1285.76,Q4
O-00155,C-0049,P-103,2025-08-15,10,275.26,2752.6,Q3
O-00156,C-0055,P-102,2025-10-19,20,656.86,13137.2,Q4
O-00157,C-0095,P-100,2025-04-17,7,1071.15,7498.05,Q2
O-00158,C-0011,P-101,2025-05-03,6,397.28,2383.68,Q2
O-00159,C-0021,P-100,2025-07-29,15,1249.54,18743.1,Q3
O-00160,C-0061,P-102,2025-01-17,8,720.67,5765.36,Q1
O-00161,C-0037,P-103,2025-02-06,8,280.84,2246.72,Q1
O-00162,C-0081,P-104,2025-12-05,7,142.32,996.24,Q4
O-00163,C-0070,P-101,2025-11-28,5,447.18,2235.9,Q4
O-00164,C-0019,P-100,2025-01-31,6,1292.9,7757.4,Q1
O-00165,C-0077,P-104,2025-05-28,15,126.53,1897.95,Q2
O-00166,C-0089,P-102,2025-12-25,13,903.95,11751.35,Q4
O-00167,C-0065,P-104,2025-09-10,15,124.22,1863.3,Q3
O-00168,C-0006,P-103,2025-06-15,20,221.91,4438.2,Q2
O-00169,C-0012,P-101,2025-12-12,19,402.2,7641.8,Q4
O-00170,C-0003,P-102,2025-10-23,2,853.67,1707.34,Q4
O-00171,C-0023,P-103,2025-09-23,15,280.16,4202.4,Q3
O-00172,C-0024,P-104,2025-08-12,16,170.88,2734.08,Q3
O-00173,C-0061,P-102,2025-07-29,11,729.9,8028.9,Q3
O-00174,C-0014,P-101,2025-06-18,14,417.11,5839.54,Q2
O-00175,C-0037,P-103,2025-10-09,2,239.8,479.6,Q4
O-00176,C-0041,P-102,2025-06-15,4,911.65,3646.6,Q2
O-00177,C-0052,P-104,2025-01-01,18,144.25,2596.5,Q1
O-00178,C-0007,P-101,2025-09-23,12,407.17,4886.04,Q3
O-00179,C-0064,P-103,2025-01-27,7,223.37,1563.59,Q1
O-00180,C-0017,P-102,2025-08-13,16,674.0,10784.0,Q3
O-00181,C-0081,P-104,2025-05-03,6,136.31,817.86,Q2
O-00182,C-0002,P-104,2025-07-28,3,131.8,395.4,Q3
O-00183,C-0015,P-103,2025-03-02,5,243.61,1218.05,Q1
O-00184,C-0092,P-102,2025-09-18,9,756.34,6807.06,Q3
O-00185,C-0062,P-103,2025-05-05,15,248.24,3723.6,Q2
O-00186,C-0050,P-101,2025-11-03,17,424.48,7216.16,Q4
O-00187,C-0018,P-100,2025-05-22,14,1102.75,15438.5,Q2
O-00188,C-0065,P-102,2025-01-02,10,843.29,8432.9,Q1
O-00189,C-0076,P-104,2025-12-04,16,165.43,2646.88,Q4
O-00190,C-0058,P-104,2025-09-05,12,137.45,1649.4,Q3
O-00191,C-0098,P-104,2025-07-13,15,168.97,2534.55,Q3
O-00192,C-0025,P-101,2025-10-20,13,352.7,4585.1,Q4
O-00193,C-0100,P-103,2025-01-23,11,265.16,2916.76,Q1
O-00194,C-0091,P-103,2025-07-17,5,243.34,1216.7,Q3
O-00195,C-0005,P-101,2025-09-15,19,366.48,6963.12,Q3
O-00196,C-0013,P-103,2025-02-21,17,279.66,4754.22,Q1
O-00197,C-0002,P-101,2025-07-29,5,330.48,1652.4,Q3
O-00198,C-0034,P-102,2025-11-16,13,821.95,10685.35,Q4
O-00199,C-0043,P-104,2025-07-14,11,152.91,1682.01,Q3
O-00200,C-0098,P-103,2025-10-05,2,254.03,508.06,Q4
O-00201,C-0031,P-102,2025-04-27,3,761.51,2284.53,Q2
O-00202,C-0013,P-100,2025-08-16,6,1251.48,7508.88,Q3
O-00203,C-0004,P-100,2025-06-16,2,1083.21,2166.42,Q2
O-00204,C-0048,P-103,2025-03-16,8,246.48,1971.84,Q1
O-00205,C-0073,P-101,2025-03-29,6,331.06,1986.36,Q1
O-00206,C-0049,P-104,2025-12-16,8,146.13,1169.04,Q4
O-00207,C-0075,P-101,2025-04-29,15,409.31,6139.65,Q2
O-00208,C-0059,P-102,2025-12-08,1,891.69,891.69,Q4
O-00209,C-0060,P-102,2025-12-13,18,684.23,12316.14,Q4
O-00210,C-0057,P-102,2025-10-28,10,818.9,8189.0,Q4
O-00211,C-0055,P-102,2025-08-22,10,695.78,6957.8,Q3
O-00212,C-0050,P-103,2025-02-24,8,233.37,1866.96,Q1
O-00213,C-0046,P-104,2025-06-01,10,121.15,1211.5,Q2
O-00214,C-0085,P-103,2025-05-21,1,249.52,249.52,Q2
O-00215,C-0088,P-100,2025-11-07,16,1309.79,20956.64,Q4
O-00216,C-0037,P-101,2025-11-07,12,350.66,4207.92,Q4
O-00217,C-0025,P-104,2025-05-09,5,152.98,764.9,Q2
O-00218,C-0081,P-100,2025-06-08,15,974.01,14610.15,Q2
O-00219,C-0047,P-101,2025-02-16,10,365.74,3657.4,Q1
O-00220,C-0054,P-101,2025-04-13,5,430.11,2150.55,Q2
O-00221,C-0047,P-104,2025-09-14,9,163.6,1472.4,Q3
O-00222,C-0033,P-103,2025-06-01,11,270.37,2974.07,Q2
O-00223,C-0060,P-100,2025-03-14,8,1321.26,10570.08,Q1
O-00224,C-0093,P-103,2025-10-13,12,207.9,2494.8,Q4
O-00225,C-0051,P-100,2025-05-16,18,1011.91,18214.38,Q2
O-00226,C-0048,P-102,2025-10-27,13,870.28,11313.64,Q4
O-00227,C-0048,P-100,2025-12-12,8,1158.02,9264.16,Q4
O-00228,C-0080,P-104,2025-06-17,20,131.62,2632.4,Q2
O-00229,C-0009,P-103,2025-12-25,10,256.81,2568.1,Q4
O-00230,C-0015,P-101,2025-01-24,2,362.61,725.22,Q1
O-00231,C-0064,P-100,2025-02-19,8,1332.65,10661.2,Q1
O-00232,C-0018,P-103,2025-08-21,12,258.67,3104.04,Q3
O-00233,C-0096,P-104,2025-08-03,19,158.97,3020.43,Q3
O-00234,C-0020,P-103,2025-12-02,4,272.95,1091.8,Q4
O-00235,C-0079,P-103,2025-05-24,2,260.4,520.8,Q2
O-00236,C-0028,P-103,2025-08-16,8,274.85,2198.8,Q3
O-00237,C-0013,P-102,2025-10-06,12,656.95,7883.4,Q4
O-00238,C-0036,P-101,2025-03-04,15,332.83,4992.45,Q1
O-00239,C-0028,P-104,2025-01-11,2,161.31,322.62,Q1
O-00240,C-0032,P-101,2025-10-17,7,329.61,2307.27,Q4
O-00241,C-0098,P-104,2025-04-17,19,131.34,2495.46,Q2
O-00242,C-0030,P-102,2025-03-17,20,640.79,12815.8,Q1
O-00243,C-0019,P-101,2025-10-04,9,431.79,3886.11,Q4
O-00244,C-0015,P-100,2025-03-09,1,1110.46,1110.46,Q1
O-00245,C-0031,P-104,2025-06-15,1,129.15,129.15,Q2
O-00246,C-0007,P-101,2025-08-04,17,335.91,5710.47,Q3
O-00247,C-0009,P-103,2025-08-18,12,244.91,2938.92,Q3
O-00248,C-0014,P-103,2025-09-15,8,282.72,2261.76,Q3
O-00249,C-0006,P-104,2025-06-04,15,153.78,2306.7,Q2
O-00250,C-0004,P-100,2025-09-03,13,1139.03,14807.39,Q3
O-00251,C-0014,P-103,2025-12-31,15,206.43,3096.45,Q4
O-00252,C-0011,P-102,2025-11-08,5,658.39,3291.95,Q4
O-00253,C-0036,P-104,2025-11-21,19,148.79,2827.01,Q4
O-00254,C-0042,P-103,2025-11-02,17,225.8,3838.6,Q4
O-00255,C-0065,P-104,2025-08-09,4,161.64,646.56,Q3
O-00256,C-0015,P-104,2025-04-21,14,143.71,2011.94,Q2
O-00257,C-0030,P-103,2025-06-23,15,234.89,3523.35,Q2
O-00258,C-0094,P-100,2025-06-10,14,1091.26,15277.64,Q2
O-00259,C-0033,P-102,2025-03-20,16,658.8,10540.8,Q1
O-00260,C-0011,P-100,2025-08-10,4,1272.73,5090.92,Q3
O-00261,C-0048,P-101,2025-10-12,2,402.11,804.22,Q4
O-00262,C-0072,P-104,2025-06-18,4,141.57,566.28,Q2
O-00263,C-0086,P-103,2025-01-27,10,252.54,2525.4,Q1
O-00264,C-0046,P-100,2025-10-23,17,1049.35,17838.95,Q4
O-00265,C-0085,P-103,2025-04-25,4,230.63,922.52,Q2
O-00266,C-0072,P-102,2025-02-28,9,800.75,7206.75,Q1
O-00267,C-0055,P-104,2025-11-15,20,155.44,3108.8,Q4
O-00268,C-0072,P-100,2025-11-08,9,972.16,8749.44,Q4
O-00269,C-0035,P-102,2025-06-23,12,641.71,7700.52,Q2
O-00270,C-0019,P-104,2025-12-03,13,123.65,1607.45,Q4
O-00271,C-0095,P-100,2025-02-16,17,1050.36,17856.12,Q1
O-00272,C-0054,P-103,2025-06-24,6,232.38,1394.28,Q2
O-00273,C-0093,P-102,2025-10-18,20,663.79,13275.8,Q4
O-00274,C-0007,P-101,2025-03-22,20,326.97,6539.4,Q1
O-00275,C-0011,P-102,2025-08-15,14,775.99,10863.86,Q3
O-00276,C-0057,P-103,2025-05-20,7,266.06,1862.42,Q2
O-00277,C-0015,P-102,2025-08-09,4,719.31,2877.24,Q3
O-00278,C-0087,P-104,2025-09-07,17,155.02,2635.34,Q3
O-00279,C-0006,P-101,2025-07-22,20,327.67,6553.4,Q3
O-00280,C-0027,P-102,2025-04-19,5,853.97,4269.85,Q2
O-00281,C-0038,P-102,2025-03-03,1,779.27,779.27,Q1
O-00282,C-0056,P-101,2025-03-08,13,394.56,5129.28,Q1
O-00283,C-0030,P-104,2025-10-14,12,123.78,1485.36,Q4
O-00284,C-0095,P-100,2025-08-12,1,1153.1,1153.1,Q3
O-00285,C-0010,P-102,2025-10-22,14,800.55,11207.7,Q4
O-00286,C-0091,P-103,2025-05-29,4,235.44,941.76,Q2
O-00287,C-0042,P-101,2025-11-13,15,436.48,6547.2,Q4
O-00288,C-0047,P-100,2025-08-12,4,1062.19,4248.76,Q3
O-00289,C-0076,P-103,2025-09-26,3,234.63,703.89,Q3
O-00290,C-0040,P-102,2025-04-24,11,858.15,9439.65,Q2
O-00291,C-0010,P-104,2025-11-21,4,147.86,591.44,Q4
O-00292,C-0025,P-102,2025-06-29,5,706.16,3530.8,Q2
O-00293,C-0019,P-102,2025-04-12,6,808.67,4852.02,Q2
O-00294,C-0098,P-100,2025-04-01,16,1154.86,18477.76,Q2
O-00295,C-0073,P-104,2025-08-18,19,153.76,2921.44,Q3
O-00296,C-0080,P-102,2025-11-18,11,682.27,7504.97,Q4
O-00297,C-0009,P-103,2025-08-15,10,269.68,2696.8,Q3
O-00298,C-0076,P-100,2025-06-30,17,991.16,16849.72,Q2
O-00299,C-0060,P-103,2025-01-20,2,232.26,464.52,Q1
O-00300,C-0037,P-100,2025-11-27,3,1218.3,3654.9,Q4
O-00301,C-0065,P-103,2025-08-25,19,248.5,4721.5,Q3
O-00302,C-0095,P-100,2025-08-19,19,1233.77,23441.63,Q3
O-00303,C-0042,P-104,2025-09-01,17,127.92,2174.64,Q3
O-00304,C-0008,P-103,2025-02-22,11,285.96,3145.56,Q1
O-00305,C-0011,P-104,2025-11-27,6,122.05,732.3,Q4
O-00306,C-0091,P-103,2025-08-13,17,245.74,4177.58,Q3
O-00307,C-0021,P-102,2025-07-10,10,748.48,7484.8,Q3
O-00308,C-0100,P-102,2025-12-14,20,654.66,13093.2,Q4
O-00309,C-0081,P-102,2025-02-03,11,666.46,7331.06,Q1
O-00310,C-0087,P-103,2025-05-26,9,263.33,2369.97,Q2
O-00311,C-0085,P-104,2025-03-18,11,124.28,1367.08,Q1
O-00312,C-0085,P-101,2025-06-29,10,455.48,4554.8,Q2
O-00313,C-0090,P-103,2025-03-08,20,262.02,5240.4,Q1
O-00314,C-0011,P-102,2025-10-14,13,820.18,10662.34,Q4
O-00315,C-0043,P-101,2025-12-10,17,333.08,5662.36,Q4
O-00316,C-0086,P-103,2025-09-18,12,201.6,2419.2,Q3
O-00317,C-0040,P-101,2025-04-20,11,452.67,4979.37,Q2
O-00318,C-0063,P-101,2025-04-26,5,341.69,1708.45,Q2
O-00319,C-0038,P-100,2025-09-17,18,1310.75,23593.5,Q3
O-00320,C-0068,P-100,2025-12-05,11,1328.08,14608.88,Q4
O-00321,C-0080,P-101,2025-11-02,13,341.6,4440.8,Q4
O-00322,C-0024,P-104,2025-03-26,15,122.29,1834.35,Q1
O-00323,C-0047,P-101,2025-08-16,20,359.89,7197.8,Q3
O-00324,C-0096,P-103,2025-04-30,18,220.93,3976.74,Q2
O-00325,C-0061,P-101,2025-07-08,19,457.82,8698.58,Q3
O-00326,C-0060,P-102,2025-07-15,17,787.69,13390.73,Q3
O-00327,C-0021,P-101,2025-11-06,5,442.22,2211.1,Q4
O-00328,C-0007,P-103,2025-07-10,18,281.75,5071.5,Q3
O-00329,C-0092,P-104,2025-03-05,10,124.4,1244.0,Q1
O-00330,C-0021,P-102,2025-08-19,17,681.26,11581.42,Q3
O-00331,C-0056,P-100,2025-04-24,15,1331.54,19973.1,Q2
O-00332,C-0004,P-103,2025-01-28,13,243.93,3171.09,Q1
O-00333,C-0031,P-103,2025-02-11,12,219.65,2635.8,Q1
O-00334,C-0041,P-100,2025-11-29,11,1292.38,14216.18,Q4
O-00335,C-0018,P-100,2025-05-27,16,1252.35,20037.6,Q2
O-00336,C-0018,P-103,2025-08-18,20,200.46,4009.2,Q3
O-00337,C-0011,P-100,2025-05-12,7,1310.68,9174.76,Q2
O-00338,C-0071,P-104,2025-09-28,14,125.84,1761.76,Q3
O-00339,C-0037,P-101,2025-06-04,4,326.68,1306.72,Q2
O-00340,C-0054,P-104,2025-08-23,3,125.82,377.46,Q3
O-00341,C-0064,P-104,2025-10-02,1,153.18,153.18,Q4
O-00342,C-0074,P-101,2025-03-15,10,380.09,3800.9,Q1
O-00343,C-0079,P-102,2025-05-04,19,756.64,14376.16,Q2
O-00344,C-0086,P-100,2025-09-26,12,988.43,11861.16,Q3
O-00345,C-0068,P-104,2025-09-17,17,149.09,2534.53,Q3
O-00346,C-0050,P-103,2025-01-23,13,285.84,3715.92,Q1
O-00347,C-0033,P-100,2025-07-02,3,1104.82,3314.46,Q3
O-00348,C-0094,P-100,2025-10-25,11,1016.03,11176.33,Q4
O-00349,C-0046,P-104,2025-06-23,6,163.6,981.6,Q2
O-00350,C-0088,P-103,2025-12-23,16,255.28,4084.48,Q4
O-00351,C-0018,P-100,2025-08-23,2,1083.25,2166.5,Q3
O-00352,C-0006,P-101,2025-01-22,11,450.67,4957.37,Q1
O-00353,C-0066,P-103,2025-10-06,16,222.16,3554.56,Q4
O-00354,C-0097,P-101,2025-05-27,12,440.7,5288.4,Q2
O-00355,C-0007,P-102,2025-05-20,4,863.82,3455.28,Q2
O-00356,C-0056,P-103,2025-08-14,13,229.67,2985.71,Q3
O-00357,C-0024,P-103,2025-12-21,16,232.14,3714.24,Q4
O-00358,C-0067,P-102,2025-02-12,14,662.1,9269.4,Q1
O-00359,C-0078,P-101,2025-10-07,10,364.97,3649.7,Q4
O-00360,C-0011,P-102,2025-12-05,10,725.82,7258.2,Q4
O-00361,C-0078,P-103,2025-03-27,15,230.76,3461.4,Q1
O-00362,C-0006,P-102,2025-11-11,14,716.88,10036.32,Q4
O-00363,C-0008,P-100,2025-12-10,13,1112.59,14463.67,Q4
O-00364,C-0096,P-101,2025-01-16,5,438.81,2194.05,Q1
O-00365,C-0087,P-103,2025-01-18,5,205.88,1029.4,Q1
O-00366,C-0100,P-102,2025-07-05,13,905.85,11776.05,Q3
O-00367,C-0005,P-104,2025-03-20,15,169.81,2547.15,Q1
O-00368,C-0048,P-103,2025-02-09,19,212.05,4028.95,Q1
O-00369,C-0047,P-103,2025-06-10,9,221.84,1996.56,Q2
O-00370,C-0015,P-100,2025-04-06,16,1177.45,18839.2,Q2
O-00371,C-0072,P-100,2025-05-15,9,1255.7,11301.3,Q2
O-00372,C-0028,P-104,2025-05-27,16,130.51,2088.16,Q2
O-00373,C-0018,P-100,2025-08-20,6,1337.45,8024.7,Q3
O-00374,C-0057,P-100,2025-12-16,11,1240.49,13645.39,Q4
O-00375,C-0091,P-100,2025-10-09,18,1081.95,19475.1,Q4
O-00376,C-0039,P-101,2025-12-31,6,431.12,2586.72,Q4
O-00377,C-0066,P-101,2025-03-04,7,430.89,3016.23,Q1
O-00378,C-0031,P-103,2025-01-14,12,248.48,2981.76,Q1
O-00379,C-0048,P-103,2025-10-10,5,253.55,1267.75,Q4
O-00380,C-0012,P-100,2025-06-08,13,1379.83,17937.79,Q2
O-00381,C-0093,P-103,2025-09-27,14,267.3,3742.2,Q3
O-00382,C-0074,P-100,2025-03-06,11,1229.78,13527.58,Q1
O-00383,C-0058,P-103,2025-12-15,17,230.15,3912.55,Q4
O-00384,C-0100,P-104,2025-11-24,19,129.55,2461.45,Q4
O-00385,C-0017,P-103,2025-09-15,2,272.75,545.5,Q3
O-00386,C-0067,P-101,2025-06-05,6,342.68,2056.08,Q2
